Organism/Name,origin,order,family,genus
Cronobacter phage ENT47670,RefSeq-85,Caudovirales,Myoviridae,
Cronobacter phage PBES 02,RefSeq-85,Caudovirales,Myoviridae,Cr3virus
Cronobacter phage S13,RefSeq-85,Caudovirales,Myoviridae,
Cronobacter phage phiES15,RefSeq-85,Caudovirales,Siphoviridae,
Cronobacter phage vB_CsaM_GAP161,RefSeq-85,Caudovirales,Myoviridae,
Cronobacter phage vB_CsaM_GAP31,RefSeq-85,Caudovirales,Myoviridae,Se1virus
Cronobacter phage vB_CsaM_GAP32,RefSeq-85,Caudovirales,Myoviridae,
Cronobacter phage vB_CsaP_GAP52,RefSeq-85,Caudovirales,Podoviridae,
Cronobacter phage vB_CskP_GAP227,RefSeq-85,Caudovirales,Podoviridae,
Cronobacter virus ESP29491,RefSeq-85,Caudovirales,Siphoviridae,
Cyanophage 9515-10a,RefSeq-85,Caudovirales,Podoviridae,
Cyanophage KBS-P-1A,RefSeq-85,,,
Cyanophage KBS-S-2A,RefSeq-85,,,
Cyanophage MED4-117,RefSeq-85,,,
Cyanophage NATL1A-7,RefSeq-85,Caudovirales,Podoviridae,
Cyanophage NATL2A-133,RefSeq-85,Caudovirales,Podoviridae,
Cyanophage P-RSM1,RefSeq-85,Caudovirales,Myoviridae,
Cyanophage P-RSM6,RefSeq-85,Caudovirales,Myoviridae,
Cyanophage P-SSP2,RefSeq-85,,,
Cyanophage P-TIM40,RefSeq-85,Caudovirales,Myoviridae,
Cyanophage PP,RefSeq-85,Caudovirales,Podoviridae,
Cyanophage PSS2,RefSeq-85,Caudovirales,Siphoviridae,
Cyanophage S-RIM32,RefSeq-85,,,
Cyanophage S-RIM50,RefSeq-85,,,
Cyanophage S-TIM5,RefSeq-85,Caudovirales,Myoviridae,
Cyanophage SS120-1,RefSeq-85,,,
Cyanophage Syn30,RefSeq-85,,,
Deep-sea thermophilic phage D6E,RefSeq-85,,,
Deftia phage phiW-14,RefSeq-85,Caudovirales,Myoviridae,
Delftia phage IME-DE1,RefSeq-85,Caudovirales,Podoviridae,
Delftia phage RG-2014,RefSeq-85,Caudovirales,Podoviridae,
Dickeya phage RC-2014,RefSeq-85,Caudovirales,Ackermannviridae,Limestonevirus
Dickeya virus Limestone,RefSeq-85,Caudovirales,Ackermannviridae,Limestonevirus
Dinoroseobacter phage DFL12phi1,RefSeq-85,Caudovirales,Podoviridae,Dfl12virus
Edwardsiella phage GF-2,RefSeq-85,Caudovirales,Myoviridae,
Edwardsiella phage KF-1,RefSeq-85,Caudovirales,Podoviridae,Kf1virus
Edwardsiella phage MSW-3,RefSeq-85,Caudovirales,Myoviridae,Msw3virus
Edwardsiella phage PEi20,RefSeq-85,Caudovirales,Myoviridae,
Edwardsiella phage PEi21,RefSeq-85,Caudovirales,Myoviridae,Msw3virus
Edwardsiella phage eiAU-183,RefSeq-85,Caudovirales,Siphoviridae,Eiauvirus
Eel River basin pequenovirus,RefSeq-85,,Microviridae,
Enterobacter phage Arya,RefSeq-85,,,
Enterobacter phage CC31,RefSeq-85,Caudovirales,Myoviridae,Cc31virus
Enterobacter phage E-2,RefSeq-85,Caudovirales,Podoviridae,
Enterobacter phage E-3,RefSeq-85,Caudovirales,Podoviridae,
Enterobacter phage EcP1,RefSeq-85,Caudovirales,Podoviridae,
Enterobacter phage Enc34,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacter phage PG7,RefSeq-85,Caudovirales,Myoviridae,Cc31virus
Enterobacter phage Tyrion,RefSeq-85,,,
Enterobacter phage phiEap-1,RefSeq-85,Caudovirales,Podoviridae,
Enterobacter phage phiEap-2,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage 13a,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage 285P,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage 933W,RefSeq-85,Caudovirales,Podoviridae,Nona33virus
Enterobacteria phage 9g,RefSeq-85,Caudovirales,Siphoviridae,Nonagvirus
Enterobacteria phage BA14,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage BP-4795,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage Bp7,RefSeq-85,Caudovirales,Myoviridae,Js98virus
Enterobacteria phage C-1 INW-2012,RefSeq-85,,Leviviridae,
Enterobacteria phage ES18,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage EcoDS1,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage FI sensu lato,RefSeq-85,,Leviviridae,
Enterobacteria phage G4 sensu lato,RefSeq-85,,Microviridae,G4microvirus
Enterobacteria phage GEC-3S,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage HK106,RefSeq-85,Caudovirales,Siphoviridae,Hk97virus
Enterobacteria phage HK140,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage HK225,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage HK446,RefSeq-85,Caudovirales,Siphoviridae,Hk97virus
Enterobacteria phage HK542,RefSeq-85,Caudovirales,Siphoviridae,Hk97virus
Enterobacteria phage HK544,RefSeq-85,Caudovirales,Siphoviridae,Hk97virus
Enterobacteria phage HK629,RefSeq-85,Caudovirales,Siphoviridae,Lambdavirus
Enterobacteria phage HK630,RefSeq-85,Caudovirales,Siphoviridae,Lambdavirus
Enterobacteria phage HK633,RefSeq-85,Caudovirales,Siphoviridae,Hk97virus
Enterobacteria phage Hgal1,RefSeq-85,,Leviviridae,
Enterobacteria phage ID18 sensu lato,RefSeq-85,,Microviridae,
Enterobacteria phage ID2 Moscow/ID/2001,RefSeq-85,,Microviridae,G4microvirus
Enterobacteria phage IME08,RefSeq-85,Caudovirales,Myoviridae,Js98virus
Enterobacteria phage IME10,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage If1,RefSeq-85,,Inoviridae,
Enterobacteria phage Ike,RefSeq-85,,Inoviridae,Lineavirus
Enterobacteria phage J8-65,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage JS10,RefSeq-85,Caudovirales,Myoviridae,Js98virus
Enterobacteria phage JenK1,RefSeq-85,Caudovirales,Siphoviridae,Nonagvirus
Enterobacteria phage JenP1,RefSeq-85,Caudovirales,Siphoviridae,Nonagvirus
Enterobacteria phage JenP2,RefSeq-85,Caudovirales,Siphoviridae,Nonagvirus
Enterobacteria phage K1F,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage M,RefSeq-85,,Leviviridae,
Enterobacteria phage P4,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage P88,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage Phi1,RefSeq-85,Caudovirales,Myoviridae,Rb49virus
Enterobacteria phage RB14,RefSeq-85,Caudovirales,Myoviridae,T4virus
Enterobacteria phage RB16,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage RB27,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage RB3,RefSeq-85,Caudovirales,Myoviridae,T4virus
Enterobacteria phage RB32,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage RB43,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage RB49,RefSeq-85,Caudovirales,Myoviridae,Rb49virus
Enterobacteria phage RB51,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage RB68,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage RB69,RefSeq-85,Caudovirales,Myoviridae,Rb69virus
Enterobacteria phage ST104,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage Sf101,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage SfI,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage SfV,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage St-1,RefSeq-85,,Microviridae,Alpha3microvirus
Enterobacteria phage T3,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage T4,RefSeq-85,Caudovirales,Myoviridae,T4virus
Enterobacteria phage T7,RefSeq-85,Caudovirales,Podoviridae,T7virus
Enterobacteria phage UAB_Phi20,RefSeq-85,,,
Enterobacteria phage UAB_Phi78,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage VT2-Sakai,RefSeq-85,Caudovirales,Podoviridae,Nona33virus
Enterobacteria phage VT2phi_272,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage WA13 sensu lato,RefSeq-85,,Microviridae,
Enterobacteria phage WPhi,RefSeq-85,Caudovirales,Myoviridae,P2virus
Enterobacteria phage YYZ-2008,RefSeq-85,,,
Enterobacteria phage alpha3,RefSeq-85,,Microviridae,Alpha3microvirus
Enterobacteria phage cdtI,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage epsilon15,RefSeq-85,Caudovirales,Podoviridae,Epsilon15virus
Enterobacteria phage fd,RefSeq-85,,Inoviridae,Inovirus
Enterobacteria phage fiAA91-ss,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage mEp043 c-1,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage mEp235,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage mEp237,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage mEp460,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage mEpX1,RefSeq-85,Caudovirales,Siphoviridae,Hk97virus
Enterobacteria phage mEpX2,RefSeq-85,Caudovirales,Siphoviridae,Hk97virus
Enterobacteria phage phi80,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteria phage phi92,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage phiEcoM-GJ1,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage phiP27,RefSeq-85,Caudovirales,Myoviridae,
Enterobacteria phage phiX174 sensu lato,RefSeq-85,,Microviridae,Phix174microvirus
Enterobacteria phage vB_EcoM_VR5,RefSeq-85,Caudovirales,Myoviridae,Js98virus
Enterobacteria phage vB_EcoP_ACG-C91,RefSeq-85,Caudovirales,Podoviridae,
Enterobacteria phage vB_EcoS_NBD2,RefSeq-85,,,
Enterobacteria phage vB_EcoS_Rogue1,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
Enterobacteria phage vB_KleM-RaK2,RefSeq-85,Caudovirales,Myoviridae,
Enterobacterial phage mEp213,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacterial phage mEp234,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacterial phage mEp390,RefSeq-85,Caudovirales,Siphoviridae,
Enterobacteriaphage UAB_Phi87,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
Enterococcus phage BC611,RefSeq-85,Caudovirales,Siphoviridae,Sap6virus
Enterococcus phage ECP3,RefSeq-85,Caudovirales,Myoviridae,Ef24cvirus
Enterococcus phage EF62phi,RefSeq-85,,,
Enterococcus phage EFAP-1,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage EFC-1,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage EFDG1,RefSeq-85,Caudovirales,Myoviridae,
Enterococcus phage EFLK1,RefSeq-85,Caudovirales,Myoviridae,Ef24cvirus
Enterococcus phage EFRM31,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage Ec-ZZ2,RefSeq-85,,,
Enterococcus phage EfaCPT1,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage IME-EF4,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage IME-EFm1,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage IME-EFm5,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage IME_EF3,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage SANTOR1,RefSeq-85,,,
Enterococcus phage VD13,RefSeq-85,Caudovirales,Siphoviridae,Sap6virus
Enterococcus phage phiEF24C,RefSeq-85,Caudovirales,Myoviridae,Ef24cvirus
Enterococcus phage phiEf11,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage phiFL1A,RefSeq-85,Caudovirales,Siphoviridae,Phifelvirus
Enterococcus phage phiFL2A,RefSeq-85,Caudovirales,Siphoviridae,Phifelvirus
Enterococcus phage phiFL3A,RefSeq-85,Caudovirales,Siphoviridae,Phifelvirus
Enterococcus phage phiFL4A,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage vB_EfaP_IME195,RefSeq-85,Caudovirales,Podoviridae,
Enterococcus phage vB_EfaS_IME196,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage vB_EfaS_IME197,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage vB_EfaS_IME198,RefSeq-85,Caudovirales,Siphoviridae,
Enterococcus phage vB_Efae230P-4,RefSeq-85,Caudovirales,Podoviridae,
Erwinia amylovora phage Era103,RefSeq-85,Caudovirales,Podoviridae,Sp6virus
Erwinia phage ENT90,RefSeq-85,Caudovirales,Myoviridae,
Erwinia phage Ea35-70,RefSeq-85,Caudovirales,Myoviridae,Agrican357virus
Erwinia phage Ea9-2,RefSeq-85,Caudovirales,Podoviridae,Ea92virus
Erwinia phage FE44,RefSeq-85,Caudovirales,Podoviridae,
Erwinia phage PEp14,RefSeq-85,Caudovirales,Podoviridae,
Erwinia phage PhiEaH1,RefSeq-85,Caudovirales,Siphoviridae,
Erwinia phage phiEa100,RefSeq-85,Caudovirales,Podoviridae,
Erwinia phage phiEa104,RefSeq-85,Caudovirales,Myoviridae,Ea214virus
Erwinia phage phiEa21-4,RefSeq-85,Caudovirales,Myoviridae,Ea214virus
Erwinia phage phiEa2809,RefSeq-85,Caudovirales,Ackermannviridae,
Erwinia phage phiEaH2,RefSeq-85,Caudovirales,Myoviridae,Eah2virus
Erwinia phage phiEt88,RefSeq-85,Caudovirales,Myoviridae,
Erwinia phage vB_EamM-Y2,RefSeq-85,Caudovirales,Myoviridae,
Erwinia phage vB_EamM_Asesino,RefSeq-85,Caudovirales,Myoviridae,Eah2virus
Erwinia phage vB_EamM_Caitlin,RefSeq-85,,,
Erwinia phage vB_EamM_ChrisDB,RefSeq-85,,,
Erwinia phage vB_EamM_EarlPhillipIV,RefSeq-85,,,
Erwinia phage vB_EamM_Huxley,RefSeq-85,,,
Erwinia phage vB_EamM_Kwan,RefSeq-85,,,
Erwinia phage vB_EamM_Phobos,RefSeq-85,,,
Erwinia phage vB_EamP-L1,RefSeq-85,Caudovirales,Podoviridae,
Erwinia phage vB_EamP-S6,RefSeq-85,Caudovirales,Podoviridae,
Erwinia phage vB_EamP_Frozen,RefSeq-85,Caudovirales,Podoviridae,Ea92virus
Erysipelothrix phage SE-1,RefSeq-85,Caudovirales,Siphoviridae,
Escherichia Stx1 converting phage,RefSeq-85,Caudovirales,Podoviridae,Nona33virus
Escherichia phage 121Q,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage 172-1,RefSeq-85,Caudovirales,Podoviridae,Phieco32virus
Escherichia phage 4MG,RefSeq-85,Caudovirales,Myoviridae,Se1virus
Escherichia phage 64795_ec1,RefSeq-85,,,
Escherichia phage ADB-2,RefSeq-85,Caudovirales,Siphoviridae,T1virus
Escherichia phage APCEc01,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage AR1,RefSeq-85,Caudovirales,Myoviridae,T4virus
Escherichia phage Av-05,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage Bp4,RefSeq-85,Caudovirales,Podoviridae,G7cvirus
Escherichia phage CAjan,RefSeq-85,Caudovirales,Siphoviridae,Seuratvirus
Escherichia phage CICC 80001,RefSeq-85,Caudovirales,Podoviridae,
Escherichia phage D108,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage EB49,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
Escherichia phage EC6,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
Escherichia phage ECBP1,RefSeq-85,Caudovirales,Podoviridae,G7cvirus
Escherichia phage ECBP2,RefSeq-85,Caudovirales,Podoviridae,Phieco32virus
Escherichia phage ECBP5,RefSeq-85,Caudovirales,Podoviridae,
Escherichia phage ECML-117,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage ECML-134,RefSeq-85,Caudovirales,Myoviridae,T4virus
Escherichia phage ECML-4,RefSeq-85,Caudovirales,Ackermannviridae,Vi1virus
Escherichia phage EK99P-1,RefSeq-85,Caudovirales,Siphoviridae,Hk578virus
Escherichia phage Envy,RefSeq-85,,,
Escherichia phage FFH2,RefSeq-85,Caudovirales,Myoviridae,V5virus
Escherichia phage FV3,RefSeq-85,Caudovirales,Myoviridae,V5virus
Escherichia phage Gluttony,RefSeq-85,,,
Escherichia phage HK578,RefSeq-85,Caudovirales,Siphoviridae,Hk578virus
Escherichia phage HK639,RefSeq-85,Caudovirales,Siphoviridae,
Escherichia phage HK75,RefSeq-85,Caudovirales,Siphoviridae,Hk97virus
Escherichia phage HX01,RefSeq-85,Caudovirales,Myoviridae,Rb69virus
Escherichia phage HY01,RefSeq-85,Caudovirales,Myoviridae,T4virus
Escherichia phage HY02,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
Escherichia phage HY03,RefSeq-85,,,
Escherichia phage IME11,RefSeq-85,Caudovirales,Podoviridae,G7cvirus
Escherichia phage JES2013,RefSeq-85,Caudovirales,Myoviridae,V5virus
Escherichia phage JH2,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
Escherichia phage JS98,RefSeq-85,Caudovirales,Myoviridae,Js98virus
Escherichia phage JSE,RefSeq-85,Caudovirales,Myoviridae,Rb49virus
Escherichia phage K1-dep(1),RefSeq-85,Caudovirales,Siphoviridae,K1gvirus
Escherichia phage K1-dep(4),RefSeq-85,Caudovirales,Siphoviridae,K1gvirus
Escherichia phage K30,RefSeq-85,Caudovirales,Podoviridae,Kp32virus
Escherichia phage KBNP1711,RefSeq-85,Caudovirales,Podoviridae,Phieco32virus
Escherichia phage LM33_P1,RefSeq-85,,,
Escherichia phage Lw1,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage MX01,RefSeq-85,,,
Escherichia phage Min27,RefSeq-85,Caudovirales,Podoviridae,Nona33virus
Escherichia phage N4,RefSeq-85,Caudovirales,Podoviridae,N4virus
Escherichia phage NJ01,RefSeq-85,Caudovirales,Podoviridae,Phieco32virus
Escherichia phage P13374,RefSeq-85,Caudovirales,Podoviridae,
Escherichia phage P483,RefSeq-85,Caudovirales,Podoviridae,
Escherichia phage P694,RefSeq-85,Caudovirales,Podoviridae,
Escherichia phage PA2,RefSeq-85,Caudovirales,Podoviridae,Tl2011virus
Escherichia phage PBECO 4,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage PE3-1,RefSeq-85,Caudovirales,Podoviridae,
Escherichia phage PhaxI,RefSeq-85,Caudovirales,Ackermannviridae,Cba120virus
Escherichia phage Pollock,RefSeq-85,Caudovirales,Podoviridae,Sp58virus
Escherichia phage QL01,RefSeq-85,Caudovirales,Myoviridae,Js98virus
Escherichia phage SUSP1,RefSeq-85,Caudovirales,Myoviridae,Suspvirus
Escherichia phage SUSP2,RefSeq-85,Caudovirales,Myoviridae,Suspvirus
Escherichia phage Seurat,RefSeq-85,Caudovirales,Siphoviridae,Seuratvirus
Escherichia phage Stx2 II,RefSeq-85,Caudovirales,Podoviridae,Nona33virus
Escherichia phage TL-2011b,RefSeq-85,Caudovirales,Podoviridae,
Escherichia phage TL-2011c,RefSeq-85,Caudovirales,Podoviridae,Tl2011virus
Escherichia phage UFV-AREG1,RefSeq-85,,,
Escherichia phage V5,RefSeq-85,Caudovirales,Myoviridae,V5virus
Escherichia phage WG01,RefSeq-85,,,
Escherichia phage YD-2008.s,RefSeq-85,Caudovirales,Siphoviridae,Hk578virus
Escherichia phage e4/1c,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
Escherichia phage ime09,RefSeq-85,Caudovirales,Myoviridae,T4virus
Escherichia phage phAPEC8,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage phi191,RefSeq-85,Caudovirales,Podoviridae,Tl2011virus
Escherichia phage phiKT,RefSeq-85,Caudovirales,Podoviridae,
Escherichia phage phiV10,RefSeq-85,Caudovirales,Podoviridae,Epsilon15virus
Escherichia phage pro147,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage pro483,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage slur01,RefSeq-85,Caudovirales,Siphoviridae,
Escherichia phage slur02,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage slur05,RefSeq-85,Caudovirales,Siphoviridae,
Escherichia phage slur07,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage slur09,RefSeq-85,Caudovirales,Siphoviridae,T5virus
Escherichia phage slur14,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage slur16,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage vB_EcoM-UFV13,RefSeq-85,,,
Escherichia phage vB_EcoM-VpaE1,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
Escherichia phage vB_EcoM-ep3,RefSeq-85,Caudovirales,Myoviridae,Cvm10virus
Escherichia phage vB_EcoM_112,RefSeq-85,Caudovirales,Myoviridae,T4virus
Escherichia phage vB_EcoM_ACG-C40,RefSeq-85,Caudovirales,Myoviridae,T4virus
Escherichia phage vB_EcoM_AYO145A,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
Escherichia phage vB_EcoM_Alf5,RefSeq-85,,,
Escherichia phage vB_EcoM_ECO1230-10,RefSeq-85,Caudovirales,Myoviridae,Cvm10virus
Escherichia phage vB_EcoM_JS09,RefSeq-85,Caudovirales,Myoviridae,Rb69virus
Escherichia phage vB_EcoM_PhAPEC2,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage vB_EcoM_VR20,RefSeq-85,Caudovirales,Myoviridae,Sp18virus
Escherichia phage vB_EcoM_VR25,RefSeq-85,Caudovirales,Myoviridae,Sp18virus
Escherichia phage vB_EcoM_VR26,RefSeq-85,Caudovirales,Myoviridae,Sp18virus
Escherichia phage vB_EcoM_VR7,RefSeq-85,Caudovirales,Myoviridae,Sp18virus
Escherichia phage vB_EcoP_24B,RefSeq-85,Caudovirales,Podoviridae,Nona33virus
Escherichia phage vB_EcoP_G7C,RefSeq-85,Caudovirales,Podoviridae,G7cvirus
Escherichia phage vB_EcoP_GA2A,RefSeq-85,,,
Escherichia phage vB_EcoP_PhAPEC5,RefSeq-85,Caudovirales,Podoviridae,G7cvirus
Escherichia phage vB_EcoP_PhAPEC7,RefSeq-85,Caudovirales,Podoviridae,G7cvirus
Escherichia phage vB_EcoP_SU10,RefSeq-85,Caudovirales,Podoviridae,Phieco32virus
Escherichia phage vB_EcoS_AHP42,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
Escherichia phage vB_EcoS_AHS24,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
Escherichia phage vB_EcoS_AKS96,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
Escherichia phage vB_EcoS_FFH1,RefSeq-85,Caudovirales,Siphoviridae,T5virus
Escherichia phage vB_Eco_ACG-M12,RefSeq-85,Caudovirales,Siphoviridae,Rtpvirus
Escherichia phage wV7,RefSeq-85,Caudovirales,Myoviridae,
Escherichia phage wV8,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
Escherichia virus 186,RefSeq-85,Caudovirales,Myoviridae,P2virus
Escherichia virus AKFV33,RefSeq-85,Caudovirales,Siphoviridae,T5virus
Escherichia virus BZ13,RefSeq-85,,Leviviridae,Levivirus
Escherichia virus CBA120,RefSeq-85,Caudovirales,Ackermannviridae,Cba120virus
Escherichia virus DT57C,RefSeq-85,Caudovirales,Siphoviridae,T5virus
Escherichia virus EPS7,RefSeq-85,Caudovirales,Siphoviridae,T5virus
Escherichia virus FI,RefSeq-85,,Leviviridae,Allolevivirus
Escherichia virus HK022,RefSeq-85,Caudovirales,Siphoviridae,HK97virus
Escherichia virus HK97,RefSeq-85,Caudovirales,Siphoviridae,HK97virus
Escherichia virus I22,RefSeq-85,,Inoviridae,Lineavirus
Escherichia virus JL1,RefSeq-85,Caudovirales,Siphoviridae,Hk578virus
Escherichia virus K1-5,RefSeq-85,Caudovirales,Podoviridae,Sp6virus
Escherichia virus K1E,RefSeq-85,Caudovirales,Podoviridae,Sp6virus
Escherichia virus KP26,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
Escherichia virus Lambda,RefSeq-85,Caudovirales,Siphoviridae,Lambdavirus
Escherichia virus M13,RefSeq-85,,Inoviridae,Inovirus
Escherichia virus MS2,RefSeq-85,,Leviviridae,Levivirus
Escherichia virus Mu,RefSeq-85,Caudovirales,Myoviridae,Muvirus
Escherichia virus N15,RefSeq-85,Caudovirales,Siphoviridae,N15virus
Escherichia virus P1,RefSeq-85,Caudovirales,Myoviridae,P1virus
Escherichia virus P2,RefSeq-85,Caudovirales,Myoviridae,P2virus
Escherichia virus Qbeta,RefSeq-85,,Leviviridae,Allolevivirus
Escherichia virus Rtp,RefSeq-85,Caudovirales,Siphoviridae,Rtpvirus
Escherichia virus SSL2009a,RefSeq-85,Caudovirales,Siphoviridae,Hk578virus
Escherichia virus T1,RefSeq-85,Caudovirales,Siphoviridae,T1virus
Escherichia virus T5,RefSeq-85,Caudovirales,Siphoviridae,T5virus
Escherichia virus TLS,RefSeq-85,Caudovirales,Siphoviridae,Tlsvirus
Escherichia virus phiEco32,RefSeq-85,Caudovirales,Podoviridae,Phieco32virus
Escherichia virus phiK,RefSeq-85,,Microviridae,Alpha3microvirus
Flavobacterium phage 11b,RefSeq-85,Caudovirales,Siphoviridae,
Flavobacterium phage 1H,RefSeq-85,,,
Flavobacterium phage 2A,RefSeq-85,,,
Flavobacterium phage 6H,RefSeq-85,,,
Flavobacterium phage FCL-2,RefSeq-85,Caudovirales,Myoviridae,
Flavobacterium phage Fpv1,RefSeq-85,,,
Flavobacterium phage Fpv10,RefSeq-85,,,
Flavobacterium phage Fpv11,RefSeq-85,,,
Flavobacterium phage Fpv2,RefSeq-85,,,
Flavobacterium phage Fpv20,RefSeq-85,,,
Flavobacterium phage Fpv3,RefSeq-85,,,
Flavobacterium phage Fpv5,RefSeq-85,,,
Flavobacterium phage Fpv6,RefSeq-85,,,
Flavobacterium phage Fpv7,RefSeq-85,,,
Flavobacterium phage Fpv8,RefSeq-85,,,
Geobacillus phage GBK2,RefSeq-85,Caudovirales,Siphoviridae,
Geobacillus phage GBSV1,RefSeq-85,Caudovirales,Myoviridae,Svunavirus
Geobacillus virus E2,RefSeq-85,,,
Geobacillus virus E3,RefSeq-85,Caudovirales,Siphoviridae,
Gokushovirinae Bog1183_53,RefSeq-85,,Microviridae,
Gokushovirinae Bog5712_52,RefSeq-85,,Microviridae,
Gokushovirinae Bog8989_22,RefSeq-85,,Microviridae,
Gokushovirinae Fen672_31,RefSeq-85,,Microviridae,
Gokushovirinae Fen7875_21,RefSeq-85,,Microviridae,
Gokushovirinae GAIR4,RefSeq-85,,Microviridae,
Gokushovirinae GNX3R,RefSeq-85,,Microviridae,
Gordonia phage Bachita,RefSeq-85,Caudovirales,Siphoviridae,Smoothievirus
Gordonia phage Bantam,RefSeq-85,,,
Gordonia phage BaxterFox,RefSeq-85,Caudovirales,Siphoviridae,Baxtervirus
Gordonia phage BetterKatz,RefSeq-85,,,
Gordonia phage Blueberry,RefSeq-85,,,
Gordonia phage Bowser,RefSeq-85,,,
Gordonia phage BritBrat,RefSeq-85,,,
Gordonia phage CaptainKirk2,RefSeq-85,,,
Gordonia phage CarolAnn,RefSeq-85,,,
Gordonia phage ClubL,RefSeq-85,Caudovirales,Siphoviridae,Smoothievirus
Gordonia phage Cozz,RefSeq-85,,,
Gordonia phage Cucurbita,RefSeq-85,,,
Gordonia phage Demosthenes,RefSeq-85,Caudovirales,Siphoviridae,Demosthenesvirus
