protein_id,contig_id,keywords
YP_009177668.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp17
YP_009177667.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp16
YP_009177666.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp15
YP_009177665.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp14
YP_009177658.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp07
YP_009177660.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp09
YP_009177659.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp08
YP_009177652.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp01
YP_009177657.1,Aeropyrum pernix ovoid virus 1,MarR family transcriptional regulator
YP_009177656.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp05
YP_009177655.1,Aeropyrum pernix ovoid virus 1,helix-turn-helix domain-containing protein
YP_009177662.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp11
YP_009177654.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp03
YP_009177653.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp02
YP_009177661.1,Aeropyrum pernix ovoid virus 1,hypothetical protein ASQ65_gp10
YP_009177751.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp21
YP_009177752.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp22
YP_009177754.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp24
YP_009177755.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp25
YP_009177756.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp26
YP_009177757.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp27
YP_009177758.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp28
YP_009177759.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp29
YP_009177760.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp30
YP_009177761.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp31
YP_009177753.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp23
YP_009177750.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp20
YP_009177741.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp11
YP_009177762.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp32
YP_009177748.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp18
YP_009177747.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp17
YP_009177746.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp16
YP_009177745.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp15
YP_009177744.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp14
YP_009177743.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp13
YP_009177742.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp12
YP_009177737.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp07
YP_009177738.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp08
YP_009177739.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp09
YP_009177740.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp10
YP_009177749.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp19
YP_009177763.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp33
YP_009177736.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp06
YP_009177765.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp35
YP_009177783.1,Aeropyrum pernix spindle-shaped virus 1,"hypothetical protein ASQ66_gp53, partial"
YP_009177782.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp52
YP_009177781.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp51
YP_009177780.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp50
YP_009177779.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp49
YP_009177778.1,Aeropyrum pernix spindle-shaped virus 1,"ribbon-helix-helix protein, CopG family"
YP_009177777.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp47
YP_009177776.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp46
YP_009177775.1,Aeropyrum pernix spindle-shaped virus 1,helix-turn-helix domain-containing protein
YP_009177764.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp34
YP_009177773.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp43
YP_009177772.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp42
YP_009177774.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp44
YP_009177768.1,Aeropyrum pernix spindle-shaped virus 1,DNA cytosine methyltransferase
YP_009177767.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp37
YP_009177769.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp39
YP_009177770.1,Aeropyrum pernix spindle-shaped virus 1,A/G-specific adenine glycosylase
YP_009177771.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp41
YP_009177766.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp36
YP_009177734.1,Aeropyrum pernix spindle-shaped virus 1,M48 family metalloprotease
YP_009177733.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp03
YP_009177732.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp02
YP_009177731.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp01
YP_009177735.1,Aeropyrum pernix spindle-shaped virus 1,hypothetical protein ASQ66_gp05
YP_919066.1,Archaeal BJ1 virus,MarR family transcriptional regulator
YP_919064.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp37
YP_919063.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp36
YP_919062.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp35
YP_919061.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp34
YP_919060.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp33
YP_919059.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp32
YP_919065.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp38
YP_919087.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp60
YP_919068.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp41
YP_919086.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp59
YP_919085.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp58
YP_919084.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp57
YP_919083.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp56
YP_919082.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp55
YP_919081.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp54
YP_919080.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp53
YP_919079.1,Archaeal BJ1 virus,XkdF-like putative serine protease domain-containing protein
YP_919078.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp51
YP_919077.1,Archaeal BJ1 virus,portal protein
YP_919088.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp61
YP_919089.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp62
YP_919090.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp63
YP_919091.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp64
YP_919058.1,Archaeal BJ1 virus,tyrosine-type recombinase/integrase
YP_919092.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp65
YP_919093.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp66
YP_919094.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp67
YP_919095.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp68
YP_919096.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp69
YP_919097.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp70
YP_919076.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp49
YP_919075.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp48
YP_919074.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp47
YP_919073.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp46
YP_919072.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp45
YP_919071.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp44
YP_919070.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp43
YP_919069.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp42
YP_919067.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp40
YP_919057.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp30
YP_919037.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp10
YP_919055.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp28
YP_919038.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp11
YP_919042.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp15
YP_919041.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp14
YP_919040.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp13
YP_919056.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp29
YP_919039.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp12
YP_919028.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp01
YP_919029.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp02
YP_919030.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp03
YP_919031.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp04
YP_919032.1,Archaeal BJ1 virus,J domain-containing protein
YP_919033.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp06
YP_919034.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp07
YP_919035.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp08
YP_919036.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp09
YP_919044.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp17
YP_919045.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp18
YP_919043.1,Archaeal BJ1 virus,AAA family ATPase
YP_919054.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp27
YP_919053.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp26
YP_919052.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp25
YP_919051.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp24
YP_919050.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp23
YP_919049.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp22
YP_919048.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp21
YP_919047.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp20
YP_919046.1,Archaeal BJ1 virus,hypothetical protein BJ1_gp19
YP_009272866.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp46
YP_009272854.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp34
YP_009272853.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp33
YP_009272852.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp32
YP_009272848.1,Haloarcula californiae icosahedral virus 1,VP3
YP_009272850.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp30
YP_009272849.1,Haloarcula californiae icosahedral virus 1,VP6
YP_009272855.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp35
YP_009272851.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp31
YP_009272856.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp36
YP_009272861.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp41
YP_009272858.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp38
YP_009272859.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp39
YP_009272860.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp40
YP_009272847.1,Haloarcula californiae icosahedral virus 1,VP9
YP_009272863.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp43
YP_009272864.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp44
YP_009272865.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp45
YP_009272867.1,Haloarcula californiae icosahedral virus 1,putative VP18
YP_009272857.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp37
YP_009272846.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp26
YP_009272862.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp42
YP_009272844.1,Haloarcula californiae icosahedral virus 1,VP2
YP_009272845.1,Haloarcula californiae icosahedral virus 1,VP5
YP_009272824.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp04
YP_009272825.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp05
YP_009272823.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp03
YP_009272822.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp02
YP_009272826.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp06
YP_009272827.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp07
YP_009272821.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp01
YP_009272829.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp09
YP_009272830.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp10
YP_009272831.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp11
YP_009272828.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp08
YP_009272833.1,Haloarcula californiae icosahedral virus 1,putative ATPase
YP_009272834.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp14
YP_009272835.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp15
YP_009272836.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp16
YP_009272837.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp17
YP_009272838.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp18
YP_009272839.1,Haloarcula californiae icosahedral virus 1,VP12
YP_009272840.1,Haloarcula californiae icosahedral virus 1,VP7
YP_009272832.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp12
YP_009272841.1,Haloarcula californiae icosahedral virus 1,VP4
YP_009272842.1,Haloarcula californiae icosahedral virus 1,hypothetical protein BGV91_gp22
YP_009272843.1,Haloarcula californiae icosahedral virus 1,putative VP13
YP_005352800.1,Haloarcula hispanica icosahedral virus 2,VP12
YP_005352801.1,Haloarcula hispanica icosahedral virus 2,VP7
YP_005352802.1,Haloarcula hispanica icosahedral virus 2,VP4
YP_005352803.1,Haloarcula hispanica icosahedral virus 2,putative protein 17
YP_005352806.1,Haloarcula hispanica icosahedral virus 2,VP5
YP_005352805.1,Haloarcula hispanica icosahedral virus 2,VP2
YP_005352807.1,Haloarcula hispanica icosahedral virus 2,VP10
YP_005352799.1,Haloarcula hispanica icosahedral virus 2,putative protein 13
YP_005352804.1,Haloarcula hispanica icosahedral virus 2,VP13
YP_005352798.1,Haloarcula hispanica icosahedral virus 2,putative protein 12
YP_005352788.1,Haloarcula hispanica icosahedral virus 2,putative protein 2
YP_005352796.1,Haloarcula hispanica icosahedral virus 2,putative protein 10
YP_005352795.1,Haloarcula hispanica icosahedral virus 2,putative protein 9
YP_005352794.1,Haloarcula hispanica icosahedral virus 2,putative protein 8
YP_005352793.1,Haloarcula hispanica icosahedral virus 2,putative ATPase
YP_005352792.1,Haloarcula hispanica icosahedral virus 2,putative protein 6
YP_005352791.1,Haloarcula hispanica icosahedral virus 2,VP1
YP_005352790.1,Haloarcula hispanica icosahedral virus 2,putative protein 4
YP_005352789.1,Haloarcula hispanica icosahedral virus 2,putative protein 3
YP_005352808.1,Haloarcula hispanica icosahedral virus 2,putative protein 22
YP_005352787.1,Haloarcula hispanica icosahedral virus 2,putative protein 1
YP_005352797.1,Haloarcula hispanica icosahedral virus 2,putative protein 11
YP_005352809.1,Haloarcula hispanica icosahedral virus 2,putative protein 23
YP_005352816.1,Haloarcula hispanica icosahedral virus 2,putative protein 30
YP_005352811.1,Haloarcula hispanica icosahedral virus 2,VP17
YP_005352810.1,Haloarcula hispanica icosahedral virus 2,VP16
YP_005352828.1,Haloarcula hispanica icosahedral virus 2,VP18
YP_005352827.1,Haloarcula hispanica icosahedral virus 2,putative protein 41
YP_005352826.1,Haloarcula hispanica icosahedral virus 2,putative protein 40
YP_005352825.1,Haloarcula hispanica icosahedral virus 2,putative protein 39
YP_005352824.1,Haloarcula hispanica icosahedral virus 2,putative protein 38
YP_005352823.1,Haloarcula hispanica icosahedral virus 2,putative protein 37
YP_005352822.1,Haloarcula hispanica icosahedral virus 2,putative protein 36
YP_005352829.1,Haloarcula hispanica icosahedral virus 2,putative protein 43
YP_005352820.1,Haloarcula hispanica icosahedral virus 2,putative protein 34
YP_005352819.1,Haloarcula hispanica icosahedral virus 2,putative protein 33
YP_005352818.1,Haloarcula hispanica icosahedral virus 2,putative protein 32
YP_005352817.1,Haloarcula hispanica icosahedral virus 2,putative protein 31
YP_005352815.1,Haloarcula hispanica icosahedral virus 2,putative protein 29
YP_005352814.1,Haloarcula hispanica icosahedral virus 2,putative protein 28
YP_005352813.1,Haloarcula hispanica icosahedral virus 2,putative protein 27
YP_005352812.1,Haloarcula hispanica icosahedral virus 2,putative protein 26
YP_005352821.1,Haloarcula hispanica icosahedral virus 2,putative protein 35
YP_003411996.1,Haloarcula hispanica pleomorphic virus 1,unkown
YP_003411997.1,Haloarcula hispanica pleomorphic virus 1,VP3
YP_003411998.1,Haloarcula hispanica pleomorphic virus 1,VP4 precursor
YP_003411999.1,Haloarcula hispanica pleomorphic virus 1,unkown
YP_003412000.1,Haloarcula hispanica pleomorphic virus 1,unkown
YP_003412001.1,Haloarcula hispanica pleomorphic virus 1,unkown
YP_003412002.1,Haloarcula hispanica pleomorphic virus 1,unkown
YP_003412003.1,Haloarcula hispanica pleomorphic virus 1,VP4
YP_003411995.1,Haloarcula hispanica pleomorphic virus 1,unkown
YP_009008689.1,Haloarcula hispanica pleomorphic virus 2,gp3
YP_009008693.1,Haloarcula hispanica pleomorphic virus 2,gp7
YP_009008692.1,Haloarcula hispanica pleomorphic virus 2,gp6
YP_009008687.1,Haloarcula hispanica pleomorphic virus 2,gp1
YP_009008688.1,Haloarcula hispanica pleomorphic virus 2,gp2
YP_009008691.1,Haloarcula hispanica pleomorphic virus 2,gp5
YP_009008690.1,Haloarcula hispanica pleomorphic virus 2,gp4
YP_009008694.1,Haloarcula hispanica pleomorphic virus 2,gp8
YP_009798569.1,Haloarcula hispanica pleomorphic virus 3,putative protein 6
YP_009798566.1,Haloarcula hispanica pleomorphic virus 3,VP3
YP_009798567.1,Haloarcula hispanica pleomorphic virus 3,putative protein 4
YP_009798568.1,Haloarcula hispanica pleomorphic virus 3,putative protein 5
YP_009798570.1,Haloarcula hispanica pleomorphic virus 3,putative protein 7
YP_009798571.1,Haloarcula hispanica pleomorphic virus 3,putative protein 8
YP_009798572.1,Haloarcula hispanica pleomorphic virus 3,putative protein 9
YP_009798565.1,Haloarcula hispanica pleomorphic virus 3,putative protein 2
YP_009798573.1,Haloarcula hispanica pleomorphic virus 3,putative protein 10
YP_009798574.1,Haloarcula hispanica pleomorphic virus 3,MarR family transcriptional regulator
YP_009798575.1,Haloarcula hispanica pleomorphic virus 3,putative protein 12
YP_009798576.1,Haloarcula hispanica pleomorphic virus 3,helix-turn-helix transcriptional regulator
YP_009798577.1,Haloarcula hispanica pleomorphic virus 3,putative protein 14
YP_009798564.1,Haloarcula hispanica pleomorphic virus 3,VP1
YP_009798579.1,Haloarcula hispanica pleomorphic virus 3,putative protein 16
YP_009798580.1,Haloarcula hispanica pleomorphic virus 3,putative protein 17
YP_009798578.1,Haloarcula hispanica pleomorphic virus 3,putative protein 15
YP_009799440.1,Haloarcula hispanica pleomorphic virus 4,VP9 protein
YP_009799439.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp08
YP_009799438.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp07
YP_009799441.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp10
YP_009799437.1,Haloarcula hispanica pleomorphic virus 4,HNH endonuclease
YP_009799436.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp05
YP_009799435.1,Haloarcula hispanica pleomorphic virus 4,winged helix-turn-helix domain-containing protein
YP_009799455.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp24
YP_009799453.1,Haloarcula hispanica pleomorphic virus 4,helix-turn-helix transcriptional regulator
YP_009799452.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp21
YP_009799451.1,Haloarcula hispanica pleomorphic virus 4,MarR family transcriptional regulator
YP_009799449.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp18
YP_009799448.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp17
YP_009799447.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp16
YP_009799446.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp15
YP_009799445.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp14
YP_009799434.1,Haloarcula hispanica pleomorphic virus 4,PhiH1 repressor
YP_009799443.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp12
YP_009799433.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp02
YP_009799432.1,Haloarcula hispanica pleomorphic virus 4,tyrosine-type recombinase/integrase
YP_009799450.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp19
YP_009799444.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp13
YP_009799454.1,Haloarcula hispanica pleomorphic virus 4,hypothetical protein HOS97_gp23
YP_009799442.1,Haloarcula hispanica pleomorphic virus 4,VP11 protein
YP_007761617.1,Haloarcula hispanica virus PH1,capsid protein VP3
YP_007761616.1,Haloarcula hispanica virus PH1,capsid protein VP9
YP_007761615.1,Haloarcula hispanica virus PH1,capsid protein VP10
YP_007761614.1,Haloarcula hispanica virus PH1,capsid protein VP5
YP_007761613.1,Haloarcula hispanica virus PH1,capsid protein VP2
YP_007761612.1,Haloarcula hispanica virus PH1,capsid protein VP13
YP_007761611.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp22
YP_007761610.1,Haloarcula hispanica virus PH1,capsid protein VP4
YP_007761609.1,Haloarcula hispanica virus PH1,capsid protein VP7
YP_007761608.1,Haloarcula hispanica virus PH1,capsid protein VP12
YP_007761607.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp18
YP_007761606.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp17
YP_007761605.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp16
YP_007761618.1,Haloarcula hispanica virus PH1,capsid protein VP6
YP_007761604.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp15
YP_007761602.1,Haloarcula hispanica virus PH1,putative ATPase
YP_007761601.1,Haloarcula hispanica virus PH1,capsid protein VP1
YP_007761600.1,Haloarcula hispanica virus PH1,capsid protein VP1
YP_007761599.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp10
YP_007761598.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp09
YP_007761597.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp08
YP_007761596.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp07
YP_007761595.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp06
YP_007761594.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp05
YP_007761593.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp04
YP_007761592.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp03
YP_007761591.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp02
YP_007761590.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp01
YP_007761603.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp14
YP_007761628.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp39
YP_007761629.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp40
YP_007761638.1,Haloarcula hispanica virus PH1,putative capsid protein VP18
YP_007761621.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp32
YP_007761622.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp33
YP_007761623.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp34
YP_007761624.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp35
YP_007761625.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp36
YP_007761626.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp37
YP_007761627.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp38
YP_007761620.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp31
YP_007761619.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp30
YP_007761636.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp47
YP_007761635.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp46
YP_007761634.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp45
YP_007761633.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp44
YP_007761632.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp43
YP_007761631.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp42
YP_007761630.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp41
YP_007761637.1,Haloarcula hispanica virus PH1,hypothetical protein K745_gp48
YP_271871.1,Haloarcula hispanica virus SH1,ORF 14
YP_271858.1,Haloarcula hispanica virus SH1,ORF 1
YP_271859.1,Haloarcula hispanica virus SH1,ORF 2
YP_271872.1,Haloarcula hispanica virus SH1,ORF 15
YP_271873.1,Haloarcula hispanica virus SH1,ORF 16
YP_271869.1,Haloarcula hispanica virus SH1,ORF 12
YP_271875.1,Haloarcula hispanica virus SH1,ORF 18
YP_271876.1,Haloarcula hispanica virus SH1,ORF 19
YP_271877.1,Haloarcula hispanica virus SH1,ORF 20
YP_271878.1,Haloarcula hispanica virus SH1,ORF 21
YP_271868.1,Haloarcula hispanica virus SH1,ORF 11
YP_271879.1,Haloarcula hispanica virus SH1,ORF 22
YP_271867.1,Haloarcula hispanica virus SH1,ORF 10
YP_271866.1,Haloarcula hispanica virus SH1,ORF 9
YP_271865.1,Haloarcula hispanica virus SH1,ORF 8
YP_271864.1,Haloarcula hispanica virus SH1,ORF 7
YP_271863.1,Haloarcula hispanica virus SH1,ORF 6
YP_271862.1,Haloarcula hispanica virus SH1,ORF 5
YP_271861.1,Haloarcula hispanica virus SH1,ORF 4
YP_271860.1,Haloarcula hispanica virus SH1,ORF 3
